TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"41-9372-2026","2026-07-10 08:54:27","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem First","Land","","15342000","812.51","812.51","","","","","","0","0","","Ashwood Estates"
"41-9373-2026","2026-07-10 08:54:35","Sales","Delayed Sell","Ready","Free Hold","Commercial","Al Yelayiss 5","Land","Commercial","8787888","615.34","615.34","","","","","","0","0","","Salva The Heights"
"41-9374-2026","2026-07-10 09:04:10","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","13362000","707.75","707.75","","","","","","0","0","","Cedarwood Estates"
"41-9375-2026","2026-07-10 09:46:32","Sales","Delayed Sell","Ready","Free Hold","Residential","ARJAN","Unit","Flat","800000","52.18","52.18","1 B/R","P4-91","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","SKYZ By Danube"
"41-9376-2026","2026-07-10 09:52:41","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2800000","154.01","154.01","","","","","","0","0","","DAMAC LAGOONS - MALTA (2)"
"41-9377-2026","2026-07-10 11:57:14","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","3030000","165.46","165.46","","","","","","0","0","","DAMAC HILLS-PARK RESIDENCES 1"
"41-9379-2026","2026-07-10 09:50:22","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","3300000","219.6","219.6","","","","","","0","0","","DAMAC LAGOONS - PORTOFINO"
"41-9381-2026","2026-07-10 09:29:20","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","33092000","1499.83","1499.83","","","","","","0","0","","Cedarwood Estates"
"41-9383-2026","2026-07-10 09:52:13","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","34694000","1508.46","1508.46","","","","","","0","0","","Cedarwood Estates"
"41-9384-2026","2026-07-10 10:32:49","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1100000","86.96","86.96","1 B/R","P3-03","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","NEVA RESIDENCES"
"41-9386-2026","2026-07-10 09:58:55","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","26909000","1081.86","1081.86","","","","","","0","0","","Cedarwood Estates"
"41-9387-2026","2026-07-10 10:05:34","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","18409000","860","860","","","","","","0","0","","Cedarwood Estates"
"41-9390-2026","2026-07-10 10:43:22","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2500000","144","144","","","","","","0","0","","DAMAC LAGOONS - NICE 1"
"41-9391-2026","2026-07-10 11:07:44","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","4620000","218.62","218.62","4 B/R","P1-162, P1-163","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Sobha Hartland - Crest Grande"
"41-9392-2026","2026-07-10 10:44:26","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","37436000","1973.89","1973.89","","","","","","0","0","","Cedarwood Estates"
"41-9393-2026","2026-07-10 11:29:15","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2550000","123.92","123.92","2 B/R","P5-4","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Sobha Hartland - Crest Grande"
"41-9394-2026","2026-07-10 11:35:42","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2600000","144","144","","","","","","0","0","","DAMAC LAGOONS - SANTORINI (2)"
"41-9395-2026","2026-07-10 12:00:16","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1994976","99.75","149.64","3 B/R","P4-138, P4-139","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Sobha Hartland - Crest Grande"
"41-9398-2026","2026-07-10 11:29:53","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1358843.5","77.89","77.89","1 B/R","P1-186","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Luma Park Views"
"41-9399-2026","2026-07-10 11:52:30","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","6300000","432","432","","","","","","0","0","",""
"41-9400-2026","2026-07-10 11:34:25","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","12929000","588.38","588.38","","","","","","0","0","","Cedarwood Estates"
"41-9401-2026","2026-07-10 11:51:11","Sales","Delayed Sell","Ready","Free Hold","Residential","Wadi Al Safa 7","Land","Residential","7209000","464","464","","","","","","0","0","","The Acres"
"41-9402-2026","2026-07-10 11:46:13","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","12897000","587.82","587.82","","","","","","0","0","","Cedarwood Estates"
"41-9403-2026","2026-07-10 11:48:36","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem Second","Land","General Use","15831888","768","768","","","","","","0","0","","Mareva 2 The Oasis"
"41-9405-2026","2026-07-10 11:52:22","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","12926000","585.13","585.13","","","","","","0","0","","Cedarwood Estates"
"41-9407-2026","2026-07-10 13:13:56","Sales","Delayed Sell","Ready","Free Hold","Residential","EMAAR SOUTH","Unit","Flat","1325000","113.1","113.1","2 B/R","101-1, 101-2","","","Al Makhtoum International Airport","0","0","","URBANA III"
"41-9409-2026","2026-07-10 12:20:31","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","5803000","423.93","423.93","","","","","","0","0","","Waada- Raiha"
"41-9410-2026","2026-07-10 12:22:36","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem Second","Land","General Use","13925888","798.75","798.75","","","","","","0","0","","Mareva The Oasis"
"41-9411-2026","2026-07-10 12:27:57","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","5821000","423.93","423.93","","","","","","0","0","","Waada- Raiha"
"41-9413-2026","2026-07-10 12:40:39","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","12890000","570","570","","","","","","0","0","","Cedarwood Estates"
"41-9414-2026","2026-07-10 12:53:52","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem First","Land","","5656777","221.4","221.4","","","","","","0","0","","Pinewood Estate Homes"
"41-9415-2026","2026-07-10 13:01:42","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem First","Land","","5674777","221.4","221.4","","","","","","0","0","","Pinewood Estate Homes"
"41-9417-2026","2026-07-10 13:23:46","Sales","Delayed Sell","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1044480","39.59","39.59","Studio","P1-20","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","BAY'S EDGE"
"41-9418-2026","2026-07-10 17:42:35","Sales","Delayed Sell","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","1000000","88.5","88.5","2 B/R","A05-G-10","","","Motor City","0","0","","Remraam - Al Ramth"
"41-9421-2026","2026-07-10 13:42:54","Sales","Delayed Sell","Ready","Free Hold","Residential","Me'Aisem Second","Land","General Use","14771430","784.46","784.46","","","","","","0","0","","Mareva The Oasis"
"41-9422-2026","2026-07-10 15:01:11","Sales","Delayed Sell","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3500000","187.18","187.18","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"41-9423-2026","2026-07-13 09:57:18","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2473000","143.97","143.97","","","","","","0","0","","DAMAC LAGOONS - MYKONOS"
"41-9425-2026","2026-07-10 16:12:37","Sales","Delayed Sell","Ready","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","3252888","141.09","141.09","3 B/R","B-340, B-341","","","","0","0","","Parkside Views"
"41-9427-2026","2026-07-10 15:09:05","Sales","Delayed Sell","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","1646910","76.42","76.42","1 B/R","B1-71","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","AZIZI RIVIERA 69"
"41-9429-2026","2026-07-10 16:11:21","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","3200000","219.6","219.6","","","","","","0","0","","DAMAC LAGOONS - PORTOFINO"
"41-9430-2026","2026-07-10 16:58:04","Sales","Delayed Sell","Ready","Free Hold","Residential","Wadi Al Safa 5","Land","Residential","6100000","441.99","441.99","","","","","","0","0","","Haven By Aldar 1"
"41-9431-2026","2026-07-10 16:21:19","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","4551888","500.95","500.95","","","","","","0","0","","Fairway Villas"
"41-9432-2026","2026-07-10 16:41:55","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2566510","93.63","93.63","2 B/R","G-5B-079","Creek Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","Creek Beach - Canopy - Moor"
"41-9435-2026","2026-07-11 10:20:18","Sales","Delayed Sell","Ready","Free Hold","Residential","ARJAN","Unit","Flat","700000","51.94","51.94","1 B/R","G-28","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","SKYZ By Danube"
"41-9436-2026","2026-07-11 12:25:49","Sales","Delayed Sell","Ready","Free Hold","Commercial","Palm Deira","Land","Commercial","9608800","644.79","644.79","","","","","","0","0","","Bay Villas - Dubai Islands"
"41-9437-2026","2026-07-11 10:15:24","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","525000","35.23","35.23","Studio","B1-38","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","CLOUD Tower "
"41-9438-2026","2026-07-11 11:20:58","Sales","Delayed Sell","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2450000","100.71","100.71","2 B/R","L2-324","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","FORTE"
"41-9440-2026","2026-07-11 20:15:26","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1561837.5","112.54","112.54","1 B/R","P2-9","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","ALEF NOON RESIDENCE"
"41-9447-2026","2026-07-13 10:10:57","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2821879","144.88","144.88","3 B/R","P4-57, P4-57A","","","","0","0","","Sobha Hartland - The Crest"
"41-9449-2026","2026-07-13 10:53:17","Sales","Delayed Sell","Ready","Free Hold","Residential","TILAL AL GHAF","Land","General Use","8500000","422.99","422.99","","","","","","0","0","","Harmony"
"41-9453-2026","2026-07-13 11:08:54","Sales","Delayed Sell","Ready","Free Hold","Residential","ARJAN","Unit","Flat","565000","32.79","32.79","Studio","P1-138","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","SKYZ By Danube"
"41-9455-2026","2026-07-13 11:30:23","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","1950000","170.67","170.67","3 B/R","G-81,G-88","","","Expo 2020 Site","0","0","","Cresswell Residences"
"41-9456-2026","2026-07-13 11:34:50","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","900000","74.38","74.38","1 B/R","P4-02","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","NEVA RESIDENCES"
"41-9458-2026","2026-07-13 11:50:22","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Yufrah 1","Land","Residential","9062888","745.55","745.55","","","","","","0","0","","The Valley - Ovelle"
"41-9459-2026","2026-07-13 11:55:32","Sales","Delayed Sell","Ready","Free Hold","Commercial","Al Yelayiss 5","Land","Commercial","6571888","462.96","462.96","","","","","","0","0","","Serro 2 The Heights"
"41-9461-2026","2026-07-13 12:07:25","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","40128712","4542.21","4542.21","","","","","","0","0","",""
"41-9464-2026","2026-07-13 13:32:00","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","2650000","137.76","137.76","3 B/R","","","","","0","0","","The Valley - Elora"
"41-9466-2026","2026-07-13 13:23:10","Sales","Delayed Sell","Ready","Free Hold","Residential","MAJAN","Unit","Flat","1855000","221.13","221.13","2 B/R","G-05","","","","0","0","","TULIP OASIS 10"
"41-9467-2026","2026-07-13 13:43:40","Sales","Delayed Sell","Ready","Free Hold","Residential","Nad Al Shiba First","Land","Villa","12000000","464.39","464.39","","","","","","0","0","","Nad Al Sheba Gardens Phase 3 "
"41-9468-2026","2026-07-24 08:46:56","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","3620000","158.89","158.89","","","","","","0","0","","DAMAC HILLS - SILVER SPRINGS 3"
"41-9469-2026","2026-07-13 14:30:18","Sales","Delayed Sell","Ready","Free Hold","Residential","Mirdif","Unit","Flat","1090000","71.61","71.61","1 B/R","B2-103","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","MIRDIF HILLS- AL MULTAQA AVENUE"
"41-9470-2026","2026-07-13 14:04:38","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2500000","143.98","143.98","","","","","","0","0","","DAMAC LAGOONS - IBIZA"
"41-9473-2026","2026-07-13 14:37:59","Sales","Delayed Sell","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1430000","59.59","59.59","1 B/R","P2-49","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","URBAN OASIS"
"41-9476-2026","2026-07-13 15:01:59","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","3200000","149.64","149.64","3 B/R","P2-105, P2-106","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Sobha Hartland - Crest Grande"
"41-9478-2026","2026-07-13 15:13:34","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1247232","81.73","81.73","1 B/R","P2-170","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Luma Park Views"
"41-9482-2026","2026-07-13 16:17:14","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","6386000","423.93","423.93","","","","","","0","0","","Waada- Raiha"
"41-9483-2026","2026-07-13 16:22:54","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","5803000","423.93","423.93","","","","","","0","0","","Waada- Raiha"
"41-9485-2026","2026-07-13 16:58:57","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","843144","33.96","33.96","Studio","P1-84  0","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","TERHAB HOTEL & TOWERS AT JUMEIRAH VILLAGE TRIANGLE "
"41-9487-2026","2026-07-13 17:04:04","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1133856","45.67","45.67","Studio","P1-06","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","TERHAB HOTEL & TOWERS AT JUMEIRAH VILLAGE TRIANGLE "
"41-9490-2026","2026-07-14 16:41:43","Sales","Delayed Sell","Ready","Free Hold","Residential","THE LAKES","Unit","Flat","3000000","107.54","107.54","2 B/R","P3-463","Nakheel Metro Station","Marina Mall","Burj Al Arab","0","0","","Golf Heights"
"41-9492-2026","2026-07-14 13:02:12","Sales","Delayed Sell","Ready","Free Hold","Commercial","Jabal Ali First","Land","Commercial","4550000","242.26","242.26","","","","","","0","0","","Jebel Ali Village Townhouses - Phase 3"
"41-9493-2026","2026-07-14 12:00:15","Sales","Delayed Sell","Ready","Free Hold","Commercial","Jabal Ali First","Land","Commercial","4990000","336","336","","","","","","0","0","","Jebel Ali Village Townhouses - Phase 2"
"41-9494-2026","2026-07-14 11:27:59","Sales","Delayed Sell","Ready","Free Hold","Residential","AL FURJAN","Unit","Flat","2100000","169.03","169.03","3 B/R","P-122,P-135","","","","0","0","","GEMZ by Danube "
"41-9496-2026","2026-07-14 09:56:58","Sales","Delayed Sell","Ready","Free Hold","Residential","Bukadra","Land","Residential","25717140","786.8","786.8","","","","","","0","0","","Sobha Estates"
"41-9497-2026","2026-07-14 10:08:37","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Yelayiss 1","Land","","3087000","144.26","144.26","","","","","","0","0","","DAMAC ISLANDS - FIJI 1"
"41-9498-2026","2026-07-14 10:56:55","Sales","Delayed Sell","Ready","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Land","Residential","27500000","961.36","961.36","","","","","","0","0","",""
"41-9499-2026","2026-07-14 10:45:32","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1309280","69.08","69.08","Studio","B1-42","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"41-9500-2026","2026-07-14 11:14:22","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","950000","66.27","66.27","1 B/R","G-128","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","JANNAT"
"41-9501-2026","2026-07-14 11:11:27","Sales","Delayed Sell","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","8000000","173.27","173.27","3 B/R","GR B3-113A, GR B3-113B","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","Grande"
"41-9502-2026","2026-07-14 12:00:03","Sales","Delayed Sell","Ready","Free Hold","Residential","MAJAN","Unit","Flat","640000","43.36","43.36","Studio","G-12","","","IMG World Adventures","0","0","","DEANSGATE by ADE"
"41-9503-2026","2026-07-14 11:42:05","Sales","Delayed Sell","Ready","Free Hold","Residential","Dubai Investment Park Second","Land","","10959866","501.69","501.69","","","","","","0","0","","Grand Polo - Equiterra "
"41-9505-2026","2026-07-14 12:15:57","Sales","Delayed Sell","Ready","Free Hold","Residential","LIVING LEGENDS","Unit","Flat","1850000","168.09","168.09","3 B/R","B-03, B-04","","","IMG World Adventures","0","0","","LIVING LEGENDS PHASE 6"
"41-9506-2026","2026-07-14 13:58:13","Sales","Delayed Sell","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2540000","126.28","126.28","2 B/R","P2-05","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","URBAN OASIS"
"41-9507-2026","2026-07-14 11:48:44","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1343483","62.17","62.17","1 B/R","B1-21","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"41-9508-2026","2026-07-14 11:58:58","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Hotel Rooms","726250","8.32","8.32","Studio","EU","Mina Seyahi","Marina Mall","Burj Al Arab","0","0","","Ciel"
"41-9509-2026","2026-07-14 12:05:46","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Hotel Rooms","726250","9.44","9.44","Studio","EU  0","Mina Seyahi","Marina Mall","Burj Al Arab","0","0","","Ciel"
"41-9510-2026","2026-07-14 12:29:03","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1994000","112.24","112.24","","","","","","0","0","","DAMAC HILLS (2) - VIOLET 3"
"41-9511-2026","2026-07-14 12:18:32","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Rooms","1150000","29.41","29.41","Studio","EU","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","The One at Jumeirah Village Triangle "
"41-9512-2026","2026-07-14 15:50:39","Sales","Delayed Sell","Ready","Free Hold","Commercial","Palm Jabal Ali","Land","Commercial","31500000","1216.87","1216.87","","","","","","0","0","","Palm Jebel Ali - Frond M"
"41-9513-2026","2026-07-14 17:16:00","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Rooms","1000000","70.32","70.32","2 B/R","EU","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","The Community"
"41-9514-2026","2026-07-14 13:23:38","Sales","Delayed Sell","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","3803800","153.23","153.23","3 B/R","B1-07, B1-08","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","AZIZI RIVIERA 69"
"41-9515-2026","2026-07-14 12:38:03","Sales","Delayed Sell","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Hotel Rooms","1328150","30.18","30.18","Studio","EU","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE ONE HOTEL "
"41-9516-2026","2026-07-14 13:15:27","Sales","Delayed Sell","Ready","Free Hold","Commercial","Me'Aisem First","Land","Commercial","12795000","570","570","","","","","","0","0","","Cedarwood Estates"
"41-9518-2026","2026-07-14 13:42:05","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1450000","72.05","72.05","1 B/R","G-65","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","The Cove ll"
"41-9519-2026","2026-07-14 13:50:13","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1450000","68.16","68.16","1 B/R","G-66","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","The Cove ll"
"41-9522-2026","2026-07-15 16:46:47","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","7981888","227.43","227.43","4 B/R","P03-065,P03-066","","","","0","0","","Beach Mansion"
"41-9526-2026","2026-07-14 16:36:52","Sales","Delayed Sell","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1594888","74.95","74.95","1 B/R","B2-60","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","The Cove ll"
"41-9527-2026","2026-07-15 12:16:21","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Land","Airport","12750000","851.11","851.11","","","","","","0","0","","South Bay 2"
"41-9529-2026","2026-07-15 11:31:40","Sales","Delayed Sell","Ready","Free Hold","Residential","Wadi Al Safa 7","Land","Residential","7000000","467.85","467.85","","","","","","0","0","","The Acres"
"41-9532-2026","2026-07-14 18:03:16","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2500000","144","144","","","","","","0","0","","DAMAC LAGOONS - MALTA (1)"
"41-9536-2026","2026-07-22 12:57:22","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2700000","144","144","","","","","","0","0","","DAMAC LAGOONS - MALTA (1)"
"41-9537-2026","2026-07-15 10:20:08","Sales","Delayed Sell","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","665000","42.24","42.24","Studio","P2-22","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Hadley Heights"
"41-9538-2026","2026-07-15 09:36:35","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2600000","144","144","","","","","","0","0","","DAMAC LAGOONS - PORTOFINO"
"41-9539-2026","2026-07-15 09:40:53","Sales","Delayed Sell","Ready","Free Hold","Residential","Wadi Al Safa 5","Land","Residential","5262574","398.04","398.04","","","","","","0","0","","ATHLON BY AL DAR 1"
"41-9541-2026","2026-07-15 10:14:06","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","3050000","251.59","251.59","4 B/R","","","","","0","0","","The Valley - Elora"
"41-9543-2026","2026-07-15 11:59:33","Sales","Delayed Sell","Ready","Free Hold","Commercial","Palm Deira","Land","Commercial","9100000","613.3","613.3","","","","","","0","0","","Bay Villas - Dubai Islands"
"41-9544-2026","2026-07-15 11:49:17","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2580000","142.49","142.49","","","","","","0","0","","DAMAC LAGOONS - COSTA BRAVA (1)"
"41-9545-2026","2026-07-15 10:59:48","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","3400000","219.6","219.6","","","","","","0","0","","DAMAC LAGOONS - PORTOFINO"
"41-9546-2026","2026-07-15 11:05:02","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4350000","352.41","352.41","4 B/R","","","","","0","0","","The Pulse Beachfront 3 "
"41-9550-2026","2026-07-15 13:51:28","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2430000","144","144","","","","","","0","0","","DAMAC LAGOONS - MALTA (1)"
"41-9551-2026","2026-07-15 11:29:55","Sales","Delayed Sell","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1250000","37.86","37.86","Studio","B1-050","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula Two"
"41-9552-2026","2026-07-15 11:41:41","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2625000","144.19","144.19","","","","","","0","0","","DAMAC LAGOONS - COSTA BRAVA (2)"
"41-9553-2026","2026-07-16 10:37:00","Sales","Delayed Sell","Ready","Free Hold","Commercial","Jabal Ali First","Land","Commercial","5650000","350.4","350.4","","","","","","0","0","","Jebel Ali Village Townhouses- Phase 1"
"41-9554-2026","2026-07-15 12:04:32","Sales","Delayed Sell","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2775000","137.61","137.61","2 B/R","P2-198","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Sobha Hartland - Crest Grande"
"41-9555-2026","2026-07-15 12:13:39","Sales","Delayed Sell","Ready","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4600000","331.98","331.98","4 B/R","","","","","0","0","","The Pulse Beachfront 2"
"41-9556-2026","2026-07-16 10:51:56","Sales","Delayed Sell","Ready","Free Hold","Commercial","Jabal Ali First","Land","Commercial","4650000","242.37","242.37","","","","","","0","0","","Jebel Ali Village Townhouses - Phase 3"
"41-9557-2026","2026-07-15 12:48:11","Sales","Delayed Sell","Ready","Free Hold","Residential","Al Hebiah Fifth","Land","Residential","2650000","144","144","","","","","","0","0","","DAMAC LAGOONS - COSTA BRAVA (1)"
